item,image,multiple,word_czech,word_english,semantic_category,grammatical_gender,animacy,language,version,pos,item_ID,role_noun,animal_person,source,pos_category
myš,PICTURE_001,1,myš,mouse,animal,f,a,cz,words,noun,image_1,0,2,multipic,NA
drak,PICTURE_111,1,drak,dragon,animal,m,a,cz,words,noun,image_12,0,2,multipic,NA
hroch,PICTURE_115,1,hroch,hippo,animal,m,a,cz,words,noun,image_16,0,2,multipic,NA
kůň,PICTURE_117,1,kůň,horse,animal,m,a,cz,words,noun,image_18,0,2,multipic,NA
krysa,PICTURE_137,1,krysa,rat,animal,f,a,cz,words,noun,image_30,0,2,multipic,NA
šnek,PICTURE_152,1,šnek,snail,animal,m,a,cz,words,noun,image_43,0,2,multipic,NA
papoušek,PICTURE_172,1,papoušek,parrot,animal,m,a,cz,words,noun,image_59,0,2,multipic,NA
krokodýl,PICTURE_189,1,krokodýl,crocodile,animal,m,a,cz,words,noun,image_69,0,2,multipic,NA
krocan,PICTURE_019,1,krocan,turkey (animal),animal,m,a,cz,words,noun,image_70,0,2,multipic,NA
medúza,PICTURE_193,1,medúza,jellyfish,animal,f,a,cz,words,noun,image_74,0,2,multipic,NA
racek,PICTURE_220,1,racek,seagull,animal,m,a,cz,words,noun,image_90,0,2,multipic,NA
lama,PICTURE_232,1,lama,llama,animal,f,a,cz,words,noun,image_100,0,2,multipic,NA
žirafa,PICTURE_236,1,žirafa,giraffe,animal,f,a,cz,words,noun,image_104,0,2,multipic,NA
ještěrka,PICTURE_252,1,ještěrka,lizard,animal,f,a,cz,words,noun,image_117,0,2,multipic,NA
chameleon,PICTURE_269,1,chameleon,chameleon,animal,m,a,cz,words,noun,image_130,0,2,multipic,NA
králík,PICTURE_271,1,králík,rabbit,animal,m,a,cz,words,noun,image_132,0,2,multipic,NA
nosorožec,PICTURE_282,1,nosorožec,rhino,animal,m,a,cz,words,noun,image_139,0,2,multipic,NA
dinosaurus,PICTURE_293,1,dinosaurus,dinosaur,animal,m,a,cz,words,noun,image_149,0,2,multipic,NA
pštros,PICTURE_299,1,pštros,ostrich,animal,m,a,cz,words,noun,image_153,0,2,multipic,NA
sova,PICTURE_323,1,sova,owl,animal,f,a,cz,words,noun,image_171,0,2,multipic,NA
ryba,PICTURE_324,1,ryba,fish dish,animal,f,a,cz,words,noun,image_172,0,2,multipic,NA
motýl,PICTURE_351,1,motýl,butterfly,animal,m,a,cz,words,noun,image_190,0,2,multipic,NA
koza,PICTURE_354,1,koza,goat,animal,f,a,cz,words,noun,image_192,0,2,multipic,NA
delfín,PICTURE_361,1,delfín,dolphin,animal,m,a,cz,words,noun,image_196,0,2,multipic,NA
