item,image,multiple,word_czech,word_english,grammatical_gender,animacy,language,version,pos,item_ID,source
myš,PICTURE_001,1,myš,mouse,f,a,cz,words,noun,image_1,multipic
drak,PICTURE_111,1,drak,dragon,m,a,cz,words,noun,image_12,multipic
hroch,PICTURE_115,1,hroch,hippo,m,a,cz,words,noun,image_16,multipic
kůň,PICTURE_117,1,kůň,horse,m,a,cz,words,noun,image_18,multipic
krysa,PICTURE_137,1,krysa,rat,f,a,cz,words,noun,image_30,multipic
šnek,PICTURE_152,1,šnek,snail,m,a,cz,words,noun,image_43,multipic
papoušek,PICTURE_172,1,papoušek,parrot,m,a,cz,words,noun,image_59,multipic
krokodýl,PICTURE_189,1,krokodýl,crocodile,m,a,cz,words,noun,image_69,multipic
krocan,PICTURE_019,1,krocan,turkey (animal),m,a,cz,words,noun,image_70,multipic
medúza,PICTURE_193,1,medúza,jellyfish,f,a,cz,words,noun,image_74,multipic
racek,PICTURE_220,1,racek,seagull,m,a,cz,words,noun,image_90,multipic
lama,PICTURE_232,1,lama,llama,f,a,cz,words,noun,image_100,multipic
žirafa,PICTURE_236,1,žirafa,giraffe,f,a,cz,words,noun,image_104,multipic
ještěrka,PICTURE_252,1,ještěrka,lizard,f,a,cz,words,noun,image_117,multipic
chameleon,PICTURE_269,1,chameleon,chameleon,m,a,cz,words,noun,image_130,multipic
králík,PICTURE_271,1,králík,rabbit,m,a,cz,words,noun,image_132,multipic
nosorožec,PICTURE_282,1,nosorožec,rhino,m,a,cz,words,noun,image_139,multipic
dinosaurus,PICTURE_293,1,dinosaurus,dinosaur,m,a,cz,words,noun,image_149,multipic
pštros,PICTURE_299,1,pštros,ostrich,m,a,cz,words,noun,image_153,multipic
sova,PICTURE_323,1,sova,owl,f,a,cz,words,noun,image_171,multipic
ryba,PICTURE_324,1,ryba,fish dish,f,a,cz,words,noun,image_172,multipic
motýl,PICTURE_351,1,motýl,butterfly,m,a,cz,words,noun,image_190,multipic
koza,PICTURE_354,1,koza,goat,f,a,cz,words,noun,image_192,multipic
delfín,PICTURE_361,1,delfín,dolphin,m,a,cz,words,noun,image_196,multipic
ježek,PICTURE_365,1,ježek,hedgehog,m,a,cz,words,noun,image_199,multipic
štír,PICTURE_370,1,štír,scorpion,m,a,cz,words,noun,image_203,multipic
rak,PICTURE_378,1,rak,lobster,m,a,cz,words,noun,image_206,multipic
zebra,PICTURE_379,1,zebra,zebra,f,a,cz,words,noun,image_207,multipic
pavouk,PICTURE_038,1,pavouk,spider,m,a,cz,words,noun,image_208,multipic
gorila,PICTURE_380,1,gorila,gorilla,f,a,cz,words,noun,image_209,multipic
vážka,PICTURE_404,1,vážka,dragonfly,f,a,cz,words,noun,image_224,multipic
krab,PICTURE_428,1,krab,crab,m,a,cz,words,noun,image_242,multipic
pták,PICTURE_430,1,pták,bird,m,a,cz,words,noun,image_244,multipic
prase,PICTURE_446,1,prase,pig,n,a,cz,words,noun,image_252,multipic
slepice,PICTURE_454,1,slepice,chicken,f,a,cz,words,noun,image_259,multipic
moucha,PICTURE_462,1,moucha,fly (insect),f,a,cz,words,noun,image_266,multipic
klokan,PICTURE_479,1,klokan,kangaroo,m,a,cz,words,noun,image_278,multipic
veverka,PICTURE_484,1,veverka,squirrel,f,a,cz,words,noun,image_282,multipic
skunk,PICTURE_493,1,skunk,skunk,m,a,cz,words,noun,image_287,multipic
liška,PICTURE_521,1,liška,fox,f,a,cz,words,noun,image_308,multipic
labuť,PICTURE_528,1,labuť,swan,f,a,cz,words,noun,image_311,multipic
mrož,PICTURE_529,1,mrož,walrus,m,a,cz,words,noun,image_312,multipic
želva,PICTURE_531,1,želva,turtle,f,a,cz,words,noun,image_315,multipic
