Response_ID,Progress,duration,participant_gender_category,participant_gender_category_other,participant_age,participant_language,participant_language_other,participant_education,participant_gender_scale,participant_political_scale,participant_optimism_scale,participant_location_scale,Device,survey_version,timing_gender,timing_valence,timing_political,timing_location,timing_age,version,participant_sample
R_sdFNP22H124rtSh,100,1069,female,NA,21,Czech,NA,high school,2,0,-1,-1,not_mobile,PRIMUS_multipic_words01,157.219,215.042,108.698,253.002,206.385,cz_words,university
R_1Ley7JfABBxJAH6,100,901,male,NA,21,Czech,NA,high school,-2,-2,2,0,mobile,PRIMUS_multipic_words01,142.268,175.473,95.383,147.936,177.001,cz_words,university
R_1jvvMBJidQbVmD7,100,1640,female,NA,25,Czech,NA,high school,2,-1,1,1,mobile,PRIMUS_multipic_words01,188.714,260.469,249.514,317.187,410.146,cz_words,university
R_1pnRAhoclqrQbTc,100,2548,female,NA,22,Czech,NA,high school,2,-1,1,1,mobile,PRIMUS_multipic_words01,644.488,377.253,601.601,471.02,267.332,cz_words,university
R_3pu0ku4TTWmLD7X,100,1399,male,NA,20,Czech,NA,high school,-2,-1,2,2,mobile,PRIMUS_multipic_words01,227.394,213.149,244.765,291.014,289.605,cz_words,university
R_3D0fm6UxeTC0wu4,100,2150,female,NA,21,Czech,NA,high school,2,0,-1,1,not_mobile,PRIMUS_multipic_words01,375.019,338.15,441.943,314.196,302.599,cz_words,university
R_3dGJcVRSPylkSQr,100,4734,female,NA,26,Czech,NA,university,2,-1,1,-2,not_mobile,PRIMUS_multipic_words01,737.703,1379.089,761.262,745.299,433.79,cz_words,university
R_1MQch6FSKTU78Cs,100,2868,female,NA,23,Czech,NA,high school,2,0,2,0,mobile,PRIMUS_multipic_words01,289.309,277.914,362.451,301.584,183.8,cz_words,university
R_1ODfGlQi5PUrYa9,100,3718,female,NA,23,Czech,NA,university,2,-1,-1,1,not_mobile,PRIMUS_multipic_words01,241.845,296.476,1384.11,436.857,673.615,cz_words,university
R_3Jz4Api2JvvPMll,100,3545,female,NA,20,Czech,NA,high school,0,-1,-1,1,mobile,PRIMUS_multipic_words01,425.104,487.895,568.581,466.072,837.878,cz_words,university
R_2fj1L0GyxvH8KxB,100,2414,female,NA,21,Czech,NA,high school,3,-1,-1,2,not_mobile,PRIMUS_multipic_words01,408.724,429.11,429.956,409.15,404.855,cz_words,university
R_3lGEJjICkX3nNa8,100,1930,female,NA,20,Czech,NA,high school,3,-1,1,1,not_mobile,PRIMUS_multipic_words01,278.8,394,295.251,308.55,332.75,cz_words,university
R_3Ei2OEpnPFd1lSO,100,3112,female,NA,21,Czech,NA,high school,2,0,1,-1,mobile,PRIMUS_multipic_words01,425.546,585.951,460.677,440.248,384.751,cz_words,university
R_1ovCbfJ9bdWz3Sp,100,13581,female,NA,22,Czech,NA,high school,1,-2,1,2,mobile,PRIMUS_multipic_words01,264.411,227.691,247.443,465.295,271.591,cz_words,university
R_1oit6jeVw5iwBFV,100,3167,male,NA,21,Czech,NA,high school,-3,-2,1,1,not_mobile,PRIMUS_multipic_words01,278.416,554.723,474.803,725.625,926.6,cz_words,university
R_2PdiCWvdUAqUIca,100,1297,female,NA,22,Czech,NA,high school,0,-2,2,2,not_mobile,PRIMUS_multipic_words01,190.903,210.71,135.305,257.111,411.452,cz_words,university
R_238lRLit6y2ljkS,100,3422,female,NA,25,Czech,NA,university,2,0,-1,-2,not_mobile,PRIMUS_multipic_words01,234.837,520.287,195.98,960.265,1128.407,cz_words,university
R_1ineu9kqHzMT7w6,100,2089,female,NA,22,Czech,NA,high school,2,0,1,-2,mobile,PRIMUS_multipic_words01,349.036,309.793,417.353,418.188,437.678,cz_words,university
R_3g0hgw0H6qMDvOw,93,1294,female,NA,27,Czech,NA,university,1,-1,2,0,not_mobile,PRIMUS_multipic_words01,214.485,326.781,256.399,187.824,245.66,cz_words,university
R_2fscAYRPzIMPamn,93,1811,female,NA,22,Czech,NA,high school,3,-1,1,-1,mobile,PRIMUS_multipic_words01,237.581,224.695,283.483,252.453,674.82,cz_words,university
R_22re8DDxVjI7oPp,100,3228,male,NA,21,Czech,NA,high school,-3,-2,1,-2,not_mobile,PRIMUS_multipic_words01,564.508,949.37,541.819,332.307,609.925,cz_words,university
R_3Mmw7x2njmjGqJT,100,2535,male,NA,22,Czech,NA,high school,-2,-3,0,0,not_mobile,PRIMUS_multipic_words01,320.06,290.967,402.634,383.871,1010.245,cz_words,university
R_dbNqUUAK907t6Uh,100,1870,female,NA,22,Czech,NA,high school,1,0,2,0,not_mobile,PRIMUS_multipic_words01,412.691,430.343,169.251,295.38,401.658,cz_words,university
R_2QsPiTYuYd6HOnX,100,3980,male,NA,22,Czech,NA,high school,-2,-2,0,1,not_mobile,PRIMUS_multipic_words01,470.545,680.257,550.169,482.329,476.054,cz_words,university
R_TdvM1nQRVe377Lb,100,12039,female,NA,20,Czech,NA,high school,2,0,0,-1,not_mobile,PRIMUS_multipic_words01,678.47,1557.177,9068.786,202.385,324.089,cz_words,university
R_10TW4MAIUKnykl0,100,53260,self-report,Nechci uvadet,25,Czech,NA,university,0,-2,2,0,mobile,PRIMUS_multipic_words01,563.739,513.256,433.963,874.786,509.587,cz_words,university
R_1JOYB69uTmSml0Y,100,1929,female,NA,22,Czech,NA,high school,2,-1,-1,-1,not_mobile,PRIMUS_multipic_words01,299.956,312.962,237.75,282.24,666.383,cz_words,university
R_SQ4En8LchOd2Gl3,100,5310,female,NA,21,Czech,NA,high school,3,-1,1,1,mobile,PRIMUS_multipic_words01,789.44,753.67,490.301,424.492,1523.975,cz_words,university
