Response_ID,Progress,duration,participant_gender_category,participant_gender_category_other,participant_age,participant_language,participant_language_other,participant_education,participant_gender_scale,participant_political_scale,participant_optimism_scale,participant_location_scale,Device,survey_version,timing_gender,timing_valence,timing_political,timing_location,timing_age,version,participant_sample
R_3iQMPPBugxvsq8W,100,2019,female,NA,23,Czech,NA,university,2,0,1,-1,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_V3vbVPth05xfYNX,100,1573,non-binary,NA,22,Czech,NA,high school,-2,-1,1,3,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_tSBvl59deSfAIfv,100,1501,female,NA,22,Czech,NA,high school,3,0,2,0,mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_1FbvgWrCytQI6NC,100,2676,male,NA,21,Czech,NA,high school,-2,-1,-2,2,mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_3hygqodEv1N6EWI,100,3879,female,NA,20,Czech,NA,high school,2,-2,1,-1,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_265SBY2Ax1c9UqF,100,3680,female,NA,19,Czech,NA,high school,1,-2,-2,2,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_242DQwha4HAD81x,100,1645,male,NA,20,Czech,NA,high school,-2,-2,-1,1,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_1GIdhX0fBwXW6sX,100,1903,female,NA,21,Czech,NA,high school,1,-1,0,-1,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_4MUDvpfPotjmWpH,100,2697,female,NA,19,Czech,NA,university,0,0,0,0,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_2X51nyLCLGowzf9,100,1277,female,NA,22,Czech,NA,high school,3,0,1,0,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_p62Sh0AIVKdwU9z,100,2090,female,NA,21,Czech,NA,high school,3,-1,1,1,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_ABPV2XrcOTULb2N,100,2063,female,NA,23,Czech,NA,university,2,0,0,-1,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_10OiqxNeGYpNav1,100,2329,female,NA,20,Czech,NA,high school,3,0,-2,-1,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_wNNSCxuU0raIQjT,100,2238,female,NA,25,Czech,NA,high school,2,0,2,-3,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_3Ho9lJVDi2upapF,100,2411,female,NA,19,Czech,NA,high school,1,-1,2,-1,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_3q9HwhiDS0YHNDK,100,2544,female,NA,34,Czech,NA,university,2,-2,2,-2,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_2THmy6rgi5PSCoB,100,2780,male,NA,23,Czech,NA,university,0,-1,0,3,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_22IXac8CbnnL0T5,100,1141,female,NA,22,Czech,NA,university,3,2,-1,-2,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_1rvs45nxOU9aurv,100,2839,female,NA,24,Czech,NA,high school,1,-3,-3,1,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_1obY538EmbmAsW0,100,2268,female,NA,24,Czech,NA,university,3,1,2,1,mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_33sEA9yBE2ktLFD,100,1138,female,NA,21,Czech,NA,high school,3,0,1,-2,mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_3m8hunklcwCNkw1,100,1466,female,NA,26,Czech,NA,university,2,-2,0,3,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_3dEoEz2HmN7VNzL,100,1283,female,NA,23,Czech,NA,university,3,-2,0,-2,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_3oQOIwO1EY3KFt7,100,1653,female,NA,22,Czech,NA,high school,3,0,0,0,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_cMIakhzVIniKikh,100,1734,female,NA,20,Czech,NA,high school,2,-1,0,0,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_2Tt8WgheusiCFLV,100,1372,female,NA,20,Czech,NA,high school,3,-1,0,1,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_3Nyy65KixdjsGki,100,2115,non-binary,NA,23,Czech,NA,university,0,-2,-1,1,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_DxjXfvHQLaxATSx,100,58407,female,NA,24,Czech,NA,university,1,-1,1,1,mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_3pl4Hzbn4oww7bi,100,3566,female,NA,33,Czech,NA,high school,2,-3,2,-1,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_8CwzjXunCb0Ynmh,100,1471,female,NA,20,Czech,NA,high school,2,0,2,0,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_3knzJgqVBIHfLve,100,1471,female,NA,20,Czech,NA,high school,2,0,1,-2,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_3oHhj8Tp4qCn08B,100,1059,male,NA,19,Czech,NA,high school,-3,2,0,-2,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_2Yht3zFQnvl77VQ,100,1968,male,NA,20,Czech,NA,high school,-2,2,-1,1,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_XhLMOxXSX734BoJ,100,1524,female,NA,20,Czech,NA,high school,2,1,1,1,mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_2OV0gMRdbyWRjMG,100,2400,male,NA,25,Czech,NA,university,-3,-3,0,-1,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_3ehtiM5ZKrg2yRf,100,1726,female,NA,22,Czech,NA,high school,2,-2,1,3,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_ToxSL0qttKyJwOJ,100,2775,female,NA,23,Czech,NA,high school,2,-1,1,3,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_2qw54EgRw3jmeuA,100,2385,female,NA,21,Czech,NA,high school,3,0,1,2,mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
R_3kizMHaQK5XDBpJ,100,1755,female,NA,25,Czech,NA,university,1,-3,2,3,not_mobile,PRIMUS_multipic_01,NA,NA,NA,NA,NA,cz_colour,university
