item,dimension,version,version1,mean,sd,n,n_known,prop_known,latent_mean,entropy,image,word_czech,word_english,grammatical_gender,animacy,language,pos,item_ID,role_noun,animal_person,source,pos_category,multiple_word,version2
ADHD,gender,Words,"Exp 1:
Words",-0.31372549019607854,0.8364256351507016,51,51,1,-0.396531112424052,1.055082871672096,NA,ADHD,ADHD,m,i,cz,noun,word_4,NA,0,sociolex,m_noun_i,0,Word
ADHD,location,Words,"Exp 1:
Words",0.9411764705882353,0.8811756852270116,51,51,1,0.7761060817953718,1.205697772011519,NA,ADHD,ADHD,m,i,cz,noun,word_4,NA,0,sociolex,m_noun_i,0,Word
ADHD,political,Words,"Exp 1:
Words",-0.7708333333333333,0.950690305376882,48,48,1,-0.731844260492159,1.2557657004952323,NA,ADHD,ADHD,m,i,cz,noun,word_4,NA,0,sociolex,m_noun_i,0,Word
ADHD,valence,Words,"Exp 1:
Words",-0.5686274509803921,0.9644667326721915,51,51,1,-0.8216252778627186,1.3610827778012369,NA,ADHD,ADHD,m,i,cz,noun,word_4,NA,0,sociolex,m_noun_i,0,Word
Adam,gender,Words,"Exp 1:
Words",-2.5348837209302326,0.7351331984685411,43,43,1,-2.8919145878630053,0.8533473664281028,NA,Adam,Adam,m,a,cz,noun,word_2,NA,1,sociolex,m_noun_a,0,Word
Adam,location,Words,"Exp 1:
Words",0.02325581395348833,0.8306157237978069,43,43,1,-0.14179077709866475,0.9710431650738497,NA,Adam,Adam,m,a,cz,noun,word_2,NA,1,sociolex,m_noun_a,0,Word
Adam,political,Words,"Exp 1:
Words",0.39534883720930236,0.7910070399939844,43,43,1,0.4307489272092523,0.9425380241184133,NA,Adam,Adam,m,a,cz,noun,word_2,NA,1,sociolex,m_noun_a,0,Word
Adam,valence,Words,"Exp 1:
Words",0.6511627906976744,1.0208241518786147,43,43,1,0.371741596596389,1.171961238793792,NA,Adam,Adam,m,a,cz,noun,word_2,NA,1,sociolex,m_noun_a,0,Word
Adolf,gender,Words,"Exp 1:
Words",-2.388888888888889,0.9032568936205333,36,36,1,-2.66369488421513,1.0399095464305241,NA,Adolf,Adolf,m,a,cz,noun,word_5,NA,1,sociolex,m_noun_a,0,Word
Adolf,location,Words,"Exp 1:
Words",0.3428571428571428,0.8725505932695973,35,35,1,0.21780896201424685,0.9320645743499893,NA,Adolf,Adolf,m,a,cz,noun,word_5,NA,1,sociolex,m_noun_a,0,Word
Adolf,political,Words,"Exp 1:
Words",0.75,1.4015297764534702,36,36,1,0.7120733612626339,1.5304710843243416,NA,Adolf,Adolf,m,a,cz,noun,word_5,NA,1,sociolex,m_noun_a,0,Word
Adolf,valence,Words,"Exp 1:
Words",-1.5277777777777777,1.133543397899099,36,36,1,-1.6894414442356518,1.4535898493393777,NA,Adolf,Adolf,m,a,cz,noun,word_5,NA,1,sociolex,m_noun_a,0,Word
Adéla,gender,Words,"Exp 1:
Words",2.68,0.6207303137828695,50,50,1,3.1606954911475493,0.7124067900557784,NA,Adéla,Adéla,f,a,cz,noun,word_3,NA,1,sociolex,f_noun_a,0,Word
Adéla,location,Words,"Exp 1:
Words",-0.09999999999999999,0.7889543583705189,50,50,1,-0.25747077259823153,0.8930991391238802,NA,Adéla,Adéla,f,a,cz,noun,word_3,NA,1,sociolex,f_noun_a,0,Word
Adéla,political,Words,"Exp 1:
Words",0.11999999999999998,0.8485281374238569,50,50,1,0.14796613245459803,1.0495537273802096,NA,Adéla,Adéla,f,a,cz,noun,word_3,NA,1,sociolex,f_noun_a,0,Word
Adéla,valence,Words,"Exp 1:
Words",0.4,1.0101525445522106,50,50,1,0.11635325472709644,1.258656633292468,NA,Adéla,Adéla,f,a,cz,noun,word_3,NA,1,sociolex,f_noun_a,0,Word
Afghanistán,gender,Words,"Exp 1:
Words",-1.1578947368421053,1.0786958038617038,38,38,1,-1.294603607040681,1.4265877766623185,NA,Afghanistán,Afghanistan,m,i,cz,noun,word_7,NA,0,sociolex,m_noun_i,0,Word
Afghanistán,location,Words,"Exp 1:
Words",0.05263157894736845,1.4322042814629072,38,38,1,-0.11742994648580544,1.6188673305758443,NA,Afghanistán,Afghanistan,m,i,cz,noun,word_7,NA,0,sociolex,m_noun_i,0,Word
Afghanistán,political,Words,"Exp 1:
Words",1.162162162162162,1.3847084232492475,37,37,1,1.1129370449504645,1.6019252371689539,NA,Afghanistán,Afghanistan,m,i,cz,noun,word_7,NA,0,sociolex,m_noun_i,0,Word
Afghanistán,valence,Words,"Exp 1:
Words",-1.1842105263157894,0.8960955293516645,38,38,1,-1.5032014617131002,1.2571090926788262,NA,Afghanistán,Afghanistan,m,i,cz,noun,word_7,NA,0,sociolex,m_noun_i,0,Word
Afrika,gender,Words,"Exp 1:
Words",0.17647058823529413,1.1782339725698145,51,51,1,0.22920945114991267,1.4148777743568255,NA,Afrika,Africa,f,i,cz,noun,word_8,NA,0,sociolex,f_noun_i,0,Word
Afrika,location,Words,"Exp 1:
Words",-0.627450980392157,1.3994396637758342,51,51,1,-0.7735517023892435,1.43836757883065,NA,Afrika,Africa,f,i,cz,noun,word_8,NA,0,sociolex,f_noun_i,0,Word
Afrika,political,Words,"Exp 1:
Words",0.6041666666666667,1.1803278183899795,48,48,1,0.6200660714453293,1.5018188912132149,NA,Afrika,Africa,f,i,cz,noun,word_8,NA,0,sociolex,f_noun_i,0,Word
Afrika,valence,Words,"Exp 1:
Words",0.1568627450980393,1.0463756308249508,51,51,1,-0.09525753019245832,1.2748126440004184,NA,Afrika,Africa,f,i,cz,noun,word_8,NA,0,sociolex,f_noun_i,0,Word
Američan,gender,Words,"Exp 1:
Words",-1.7272727272727273,0.8986717941815605,44,44,1,-1.8623067324273057,1.268479817335614,NA,Američan,American person (male),m,a,cz,noun,word_28,1,1,sociolex,m_noun_a,0,Word
Američan,location,Words,"Exp 1:
Words",1.6000000000000003,1.1159993483217387,45,45,1,1.4018802561191632,1.3966861606262178,NA,Američan,American person (male),m,a,cz,noun,word_28,1,1,sociolex,m_noun_a,0,Word
Američan,political,Words,"Exp 1:
Words",-0.5333333333333334,1.3584750809104102,45,45,1,-0.43078536962459857,1.5798124994403493,NA,Američan,American person (male),m,a,cz,noun,word_28,1,1,sociolex,m_noun_a,0,Word
Američan,valence,Words,"Exp 1:
Words",0.1555555555555556,0.9034166348709858,45,45,1,-0.11310444321891729,1.2717269799855495,NA,Američan,American person (male),m,a,cz,noun,word_28,1,1,sociolex,m_noun_a,0,Word
Američanka,gender,Words,"Exp 1:
Words",2.5625,0.7156093726283553,32,32,1,2.9373040211915997,0.8314025204956377,NA,Američanka,American person (female),f,a,cz,noun,word_29,1,1,sociolex,f_noun_a,0,Word
Američanka,location,Words,"Exp 1:
Words",1.59375,1.187553054841979,32,32,1,1.410929307280429,1.468174332461993,NA,Američanka,American person (female),f,a,cz,noun,word_29,1,1,sociolex,f_noun_a,0,Word
Američanka,political,Words,"Exp 1:
Words",-1,1.1071614388213236,32,32,1,-0.8810649441870396,1.4620316625956846,NA,Američanka,American person (female),f,a,cz,noun,word_29,1,1,sociolex,f_noun_a,0,Word
Američanka,valence,Words,"Exp 1:
Words",0.5,0.915810939779251,32,32,1,0.2113045065160497,1.1976254499523014,NA,Američanka,American person (female),f,a,cz,noun,word_29,1,1,sociolex,f_noun_a,0,Word
Antarktida,gender,Words,"Exp 1:
Words",0.0392156862745098,0.7472826590715319,51,51,1,0.09303023654318024,0.974886866446598,NA,Antarktida,Antarctica,f,i,cz,noun,word_37,NA,0,sociolex,f_noun_i,0,Word
Antarktida,location,Words,"Exp 1:
Words",-0.4901960784313725,1.3171567715288535,51,51,1,-0.613147023520366,1.5335162132603275,NA,Antarktida,Antarctica,f,i,cz,noun,word_37,NA,0,sociolex,f_noun_i,0,Word
Antarktida,political,Words,"Exp 1:
Words",-0.15999999999999998,0.79179465488863,50,50,1,-0.11487007789712289,1.0122225054058236,NA,Antarktida,Antarctica,f,i,cz,noun,word_37,NA,0,sociolex,f_noun_i,0,Word
Antarktida,valence,Words,"Exp 1:
Words",0.6078431372549019,1.0597817015319524,51,51,1,0.30855919009853844,1.2996851773897093,NA,Antarktida,Antarctica,f,i,cz,noun,word_37,NA,0,sociolex,f_noun_i,0,Word
Argentina,gender,Words,"Exp 1:
Words",0.3939393939393939,0.998104263697997,33,33,1,0.48578757428278907,0.9420024634746367,NA,Argentina,Argentina,f,i,cz,noun,word_46,NA,0,sociolex,f_noun_i,0,Word
Argentina,location,Words,"Exp 1:
Words",0.27272727272727276,0.9444815797809158,33,33,1,0.10470634481938419,1.1691484904442315,NA,Argentina,Argentina,f,i,cz,noun,word_46,NA,0,sociolex,f_noun_i,0,Word
Argentina,political,Words,"Exp 1:
Words",-0.03125,0.89746506805953,32,32,1,0.03678228694236224,1.2744970973087293,NA,Argentina,Argentina,f,i,cz,noun,word_46,NA,0,sociolex,f_noun_i,0,Word
Argentina,valence,Words,"Exp 1:
Words",0.27272727272727276,0.8393720596645176,33,33,1,0.004777379043899339,1.1262606602061398,NA,Argentina,Argentina,f,i,cz,noun,word_46,NA,0,sociolex,f_noun_i,0,Word
Arktida,gender,Words,"Exp 1:
Words",0.3548387096774193,1.112006807436423,31,31,1,0.48082465830191895,1.121737777245164,NA,Arktida,The Arctic,f,i,cz,noun,word_47,NA,0,sociolex,f_noun_i,0,Word
Arktida,location,Words,"Exp 1:
Words",-0.9354838709677419,1.2365404393162869,31,31,1,-1.0373079354216497,1.1237206635824628,NA,Arktida,The Arctic,f,i,cz,noun,word_47,NA,0,sociolex,f_noun_i,0,Word
Arktida,political,Words,"Exp 1:
Words",-0.2903225806451613,0.7828813612588129,31,31,1,-0.23817230240434345,0.9104309901146065,NA,Arktida,The Arctic,f,i,cz,noun,word_47,NA,0,sociolex,f_noun_i,0,Word
Arktida,valence,Words,"Exp 1:
Words",0.5483870967741935,0.9946091251481445,31,31,1,0.22913163882465695,1.3068597316774466,NA,Arktida,The Arctic,f,i,cz,noun,word_47,NA,0,sociolex,f_noun_i,0,Word
Asie,gender,Words,"Exp 1:
Words",0.1818181818181818,0.9830208371799481,55,55,1,0.245872136644645,1.2560538038996083,NA,Asie,Asia,f,i,cz,noun,word_55,NA,0,sociolex,f_noun_i,0,Word
Asie,location,Words,"Exp 1:
Words",0.5636363636363637,1.2437046863308614,55,55,1,0.39489425348516094,1.5342872191995836,NA,Asie,Asia,f,i,cz,noun,word_55,NA,0,sociolex,f_noun_i,0,Word
Asie,political,Words,"Exp 1:
Words",0.7818181818181819,1.197078373790385,55,55,1,0.7706649656156253,1.5709158392830866,NA,Asie,Asia,f,i,cz,noun,word_55,NA,0,sociolex,f_noun_i,0,Word
Asie,valence,Words,"Exp 1:
Words",0.2363636363636364,1.0176886732641945,55,55,1,-0.025942490765427813,1.3105657710759497,NA,Asie,Asia,f,i,cz,noun,word_55,NA,0,sociolex,f_noun_i,0,Word
Austrálie,gender,Words,"Exp 1:
Words",0.36363636363636376,1.0067114847204308,55,55,1,0.45343304170748694,1.135882745752525,NA,Austrálie,Australia,f,i,cz,noun,word_68,NA,0,sociolex,f_noun_i,0,Word
Austrálie,location,Words,"Exp 1:
Words",0.35185185185185175,1.2612872640852582,55,54,0.9818181818181818,0.15732932968618107,1.45241290527444,NA,Austrálie,Australia,f,i,cz,noun,word_68,NA,0,sociolex,f_noun_i,0,Word
Austrálie,political,Words,"Exp 1:
Words",-0.5555555555555556,1.0757475095962412,55,54,0.9818181818181818,-0.5028253630340093,1.4545457663816315,NA,Austrálie,Australia,f,i,cz,noun,word_68,NA,0,sociolex,f_noun_i,0,Word
Austrálie,valence,Words,"Exp 1:
Words",0.7592592592592591,1.062840359428277,55,54,0.9818181818181818,0.4909762863339146,1.2942561994577855,NA,Austrálie,Australia,f,i,cz,noun,word_68,NA,0,sociolex,f_noun_i,0,Word
Berlín,gender,Words,"Exp 1:
Words",-0.6052631578947368,1.0010662878451297,38,38,1,-0.7085580118755207,1.1273487091292815,NA,Berlín,Berlin,m,i,cz,noun,word_114,NA,0,sociolex,m_noun_i,0,Word
Berlín,location,Words,"Exp 1:
Words",2.736842105263158,0.6010895749371725,38,38,1,2.8638736260652533,0.5939731993776527,NA,Berlín,Berlin,m,i,cz,noun,word_114,NA,0,sociolex,m_noun_i,0,Word
Berlín,political,Words,"Exp 1:
Words",-1,1.1547005383792515,37,37,1,-0.8537389338916737,1.5107622044594546,NA,Berlín,Berlin,m,i,cz,noun,word_114,NA,0,sociolex,m_noun_i,0,Word
Berlín,valence,Words,"Exp 1:
Words",0.6578947368421053,1.1688829453677345,38,38,1,0.2956650870614801,1.482273016944799,NA,Berlín,Berlin,m,i,cz,noun,word_114,NA,0,sociolex,m_noun_i,0,Word
Božena,gender,Words,"Exp 1:
Words",2.8275862068965516,0.3844258722192448,29,29,1,3.428557943555514,0.45969301996850176,NA,Božena,Božena,f,a,cz,noun,word_160,NA,1,sociolex,f_noun_a,0,Word
Božena,location,Words,"Exp 1:
Words",-1.1,1.3222238320605804,30,30,1,-1.1716552690047055,1.579862560623852,NA,Božena,Božena,f,a,cz,noun,word_160,NA,1,sociolex,f_noun_a,0,Word
Božena,political,Words,"Exp 1:
Words",1,1.203443335628631,30,30,1,0.9118925438725277,1.4242602285265336,NA,Božena,Božena,f,a,cz,noun,word_160,NA,1,sociolex,f_noun_a,0,Word
Božena,valence,Words,"Exp 1:
Words",0.4000000000000001,1.0034423509719619,30,30,1,0.04672027391203141,1.1120753352135857,NA,Božena,Božena,f,a,cz,noun,word_160,NA,1,sociolex,f_noun_a,0,Word
Bratislava,gender,Words,"Exp 1:
Words",0.37931034482758613,0.8200084103858007,29,29,1,0.46790875327968784,0.9759810232840528,NA,Bratislava,Bratislava,f,i,cz,noun,word_169,NA,0,sociolex,f_noun_i,0,Word
Bratislava,location,Words,"Exp 1:
Words",1.8620689655172415,1.5053271578685976,29,29,1,1.6359455466233066,1.3836109350030021,NA,Bratislava,Bratislava,f,i,cz,noun,word_169,NA,0,sociolex,f_noun_i,0,Word
Bratislava,political,Words,"Exp 1:
Words",-0.10714285714285712,0.8317445171439015,28,28,1,-0.07462892661495725,0.9448431788652298,NA,Bratislava,Bratislava,f,i,cz,noun,word_169,NA,0,sociolex,f_noun_i,0,Word
Bratislava,valence,Words,"Exp 1:
Words",0.20689655172413796,1.0481040823733514,29,29,1,0.004568434650720594,1.318703141418036,NA,Bratislava,Bratislava,f,i,cz,noun,word_169,NA,0,sociolex,f_noun_i,0,Word
Brazílie,gender,Words,"Exp 1:
Words",0.41666666666666663,1.0484706863531497,48,48,1,0.49154722481587243,1.386253566924486,NA,Brazílie,Brazil,f,i,cz,noun,word_172,NA,0,sociolex,f_noun_i,0,Word
Brazílie,location,Words,"Exp 1:
Words",0.9375,1.1743037774367107,48,48,1,0.7481937306710761,1.456417422534773,NA,Brazílie,Brazil,f,i,cz,noun,word_172,NA,0,sociolex,f_noun_i,0,Word
Brazílie,political,Words,"Exp 1:
Words",-0.14893617021276587,0.8335029121321896,47,47,1,-0.11404036710768317,1.1979440096272818,NA,Brazílie,Brazil,f,i,cz,noun,word_172,NA,0,sociolex,f_noun_i,0,Word
Brazílie,valence,Words,"Exp 1:
Words",0.25,0.6684373647831918,48,48,1,-0.04054741408312098,0.8889532631933947,NA,Brazílie,Brazil,f,i,cz,noun,word_172,NA,0,sociolex,f_noun_i,0,Word
Brit,gender,Words,"Exp 1:
Words",-1.3518518518518519,0.9935149609532891,55,54,0.9818181818181818,-1.4864409822531606,1.3342836041873367,NA,Brit,British person (male),m,a,cz,noun,word_176,1,1,sociolex,m_noun_a,0,Word
Brit,location,Words,"Exp 1:
Words",1.0181818181818183,0.9524025971566372,55,55,1,0.8318021178473715,1.2804590102516278,NA,Brit,British person (male),m,a,cz,noun,word_176,1,1,sociolex,m_noun_a,0,Word
Brit,political,Words,"Exp 1:
Words",0.2181818181818181,1.4232319647862133,55,55,1,0.2375324830116301,1.7307179404999868,NA,Brit,British person (male),m,a,cz,noun,word_176,1,1,sociolex,m_noun_a,0,Word
Brit,valence,Words,"Exp 1:
Words",0.4727272727272728,0.959447091057511,55,55,1,0.2004107123888708,1.070769116691732,NA,Brit,British person (male),m,a,cz,noun,word_176,1,1,sociolex,m_noun_a,0,Word
Britka,gender,Words,"Exp 1:
Words",2.0555555555555554,0.8261595987094033,36,36,1,2.2196441737464996,1.1436016171726813,NA,Britka,British person (female),f,a,cz,noun,word_177,1,1,sociolex,f_noun_a,0,Word
Britka,location,Words,"Exp 1:
Words",1,0.8876253645985945,35,34,0.9714285714285714,0.8192951923344574,1.1963140914344397,NA,Britka,British person (female),f,a,cz,noun,word_177,1,1,sociolex,f_noun_a,0,Word
Britka,political,Words,"Exp 1:
Words",0.5277777777777779,1.2302406526741276,36,36,1,0.4796283654756797,1.4730852368715226,NA,Britka,British person (female),f,a,cz,noun,word_177,1,1,sociolex,f_noun_a,0,Word
Britka,valence,Words,"Exp 1:
Words",0.5277777777777778,0.8778581437993959,36,36,1,0.3136208165983931,1.0926440890272031,NA,Britka,British person (female),f,a,cz,noun,word_177,1,1,sociolex,f_noun_a,0,Word
Brno,gender,Words,"Exp 1:
Words",-0.18918918918918917,0.5694947974514992,37,37,1,-0.20929012395136076,0.4033344965794089,NA,Brno,Brno,n,i,cz,noun,word_179,NA,0,sociolex,other,0,Word
