item,age_PC1,age_PC2,age_PC3,n_known_age,age_mode,prop_mode,n_mode,0_6,07_17,18_30,31_50,51_65,66_80,81+,no age,image,multiple,word_czech,word_english,grammatical_gender,animacy,language,version,pos,item_ID,source
ADHD,2.82995675073959,1.2564943016778665,1.7724699811978413,51,07-17,0.445798319327731,1,0.22521008403361348,0.445798319327731,0.15168067226890755,0.05364145658263306,0.01442577030812325,0.0056022408963585435,0.0056022408963585435,0.09803921568627451,NA,NA,ADHD,ADHD,m,i,cz,words,noun,word_4,sociolex
Adam,1.2490118156568737,0.8145149962751065,-0.5744921214348981,42,no age,0.40476190476190477,1,0.0977891156462585,0.14540816326530615,0.21683673469387757,0.05017006802721088,0.044217687074829926,0.020408163265306117,0.020408163265306117,0.40476190476190477,NA,NA,Adam,Adam,m,a,cz,words,noun,word_2,sociolex
Adolf,-2.0064541161256204,1.9120360934288894,-0.2706391875458834,34,no age,0.4117647058823529,1,0,0.00980392156862745,0.020588235294117647,0.13088235294117648,0.08186274509803922,0.08186274509803923,0.263235294117647,0.4117647058823529,NA,NA,Adolf,Adolf,m,a,cz,words,noun,word_5,sociolex
Adéla,1.5498309180554979,0.579261250494174,-0.0160842466835321,49,no age,0.32653061224489793,1,0.1190476190476191,0.15306122448979592,0.2755102040816326,0.06462585034013606,0.020408163265306117,0.020408163265306117,0.020408163265306117,0.32653061224489793,NA,NA,Adéla,Adéla,f,a,cz,words,noun,word_3,sociolex
Afghanistán,-0.35385939986174414,-0.19026696694538936,-0.7723509821812087,37,no age,0.3783783783783784,1,0.007722007722007721,0.03474903474903475,0.1888030888030888,0.1888030888030888,0.10772200772200773,0.026640926640926637,0.06718146718146718,0.3783783783783784,NA,NA,Afghanistán,Afghanistan,m,i,cz,words,noun,word_7,sociolex
Afrika,0.47365860690118156,1.0408525182739727,-1.2661986216072634,51,no age,0.49019607843137253,1,0.07096171802054155,0.07096171802054155,0.1395891690009337,0.10690943043884221,0.028478057889822595,0.008870214752567693,0.08403361344537814,0.49019607843137253,NA,NA,Afrika,Africa,f,i,cz,words,noun,word_8,sociolex
Američan,-0.20408860752403024,-0.9879256125638205,-1.0239297452516753,44,31-50,0.36136363636363633,1,0.027272727272727268,0.027272727272727268,0.14545454545454548,0.36136363636363633,0.043181818181818175,0.027272727272727268,0.027272727272727268,0.3409090909090909,NA,NA,Američan,American person (male),m,a,cz,words,noun,word_28,sociolex
Američanka,1.0730148632954393,-0.18293168178771008,-0.26338440816190184,32,no age,0.34375,1,0.02232142857142857,0.1369047619047619,0.277529761904762,0.1525297619047619,0.02232142857142857,0.02232142857142857,0.02232142857142857,0.34375,NA,NA,Američanka,American person (female),f,a,cz,words,noun,word_29,sociolex
Antarktida,-0.15319613685740724,0.18279277632977786,-1.9485072578589713,51,no age,0.5294117647058824,1,0.010504201680672268,0.030112044817927168,0.10527544351073762,0.18370681605975722,0.09056956115779646,0.0056022408963585435,0.04481792717086835,0.5294117647058824,NA,NA,Antarktida,Antarctica,f,i,cz,words,noun,word_37,sociolex
Argentina,0.17992445371903124,-0.049169068382597186,-1.7694054030318407,33,no age,0.5151515151515151,1,0.004329004329004329,0.024531024531024532,0.17604617604617603,0.1911976911976912,0.03968253968253968,0.03968253968253968,0.00937950937950938,0.5151515151515151,NA,NA,Argentina,Argentina,f,i,cz,words,noun,word_46,sociolex
Arktida,0.29209774718073345,0.24107205945115834,-1.8321829640510203,31,no age,0.5161290322580645,1,0.04838709677419355,0.03225806451612903,0.14516129032258066,0.16129032258064516,0.06451612903225806,0.016129032258064516,0.016129032258064516,0.5161290322580645,NA,NA,Arktida,The Arctic,f,i,cz,words,noun,word_47,sociolex
Asie,-0.3257665367598961,-0.1768252116506741,-0.5840593773053239,55,no age,0.34545454545454546,1,0.035844155844155845,0.04251082251082251,0.1819047619047619,0.1964502164502164,0.10251082251082252,0.054025974025974026,0.0412987012987013,0.34545454545454546,NA,NA,Asie,Asia,f,i,cz,words,noun,word_55,sociolex
Austrálie,0.5635062212802457,-0.4820371632284512,-0.5150141898773931,54,no age,0.35185185185185186,1,0.029100529100529095,0.034347442680776004,0.31212522045855373,0.17323633156966492,0.043606701940035276,0.020458553791887123,0.03527336860670194,0.35185185185185186,NA,NA,Austrálie,Australia,f,i,cz,words,noun,word_68,sociolex
Berlín,0.4227637230824492,0.09940306733289796,-0.43192672817625444,37,no age,0.3783783783783784,1,0.015444015444015443,0.074002574002574,0.27670527670527667,0.09652509652509651,0.0785070785070785,0.02445302445302445,0.05598455598455598,0.3783783783783784,NA,NA,Berlín,Berlin,m,i,cz,words,noun,word_114,sociolex
Božena,-4.312053013849376,1.6556267400468536,2.1064224940398626,30,51-65,0.28333333333333327,2,0,0,0.03333333333333333,0.07777777777777778,0.28333333333333327,0.28333333333333327,0.2222222222222222,0.1,NA,NA,Božena,Božena,f,a,cz,words,noun,word_160,sociolex
Bratislava,0.14998201157946894,-0.22830277616284092,-1.5489547647560609,29,no age,0.4827586206896552,1,0.010673234811165846,0.010673234811165846,0.23193760262725777,0.12848932676518884,0.11124794745484401,0.01929392446633826,0.0049261083743842365,0.4827586206896552,NA,NA,Bratislava,Bratislava,f,i,cz,words,noun,word_169,sociolex
Brazílie,0.7310518855684257,-0.23744980601520638,-1.4579258205342878,46,no age,0.4782608695652174,1,0.009316770186335404,0.05279503105590062,0.23757763975155277,0.17236024844720496,0.031055900621118012,0.009316770186335404,0.009316770186335404,0.4782608695652174,NA,NA,Brazílie,Brazil,f,i,cz,words,noun,word_172,sociolex
Brit,-0.9378815399965805,-1.0729284303729159,-0.481668136661159,55,31-50,0.29437229437229434,1,0.015584415584415581,0.020129870129870126,0.16103896103896104,0.29437229437229434,0.158008658008658,0.06255411255411256,0.015584415584415581,0.2727272727272727,NA,NA,Brit,British person (male),m,a,cz,words,noun,word_176,sociolex
Britka,-0.03815224182400549,0.23598257151869423,-1.8239060865125076,34,no age,0.5294117647058824,1,0.008403361344537815,0.018207282913165267,0.15056022408963585,0.15791316526610644,0.07457983193277311,0.015756302521008403,0.045168067226890755,0.5294117647058824,NA,NA,Britka,British person (female),f,a,cz,words,noun,word_177,sociolex
Brno,-0.16315191030940526,-0.3311475256178185,0.31793691824291404,36,18-30,0.31567460317460316,1,0.04761904761904761,0.025396825396825393,0.31567460317460316,0.13511904761904764,0.10734126984126985,0.07956349206349206,0.039285714285714285,0.25,NA,NA,Brno,Brno,n,i,cz,words,noun,word_179,sociolex
Brusel,0.11954942810111967,-0.28913594167359236,-1.5902968753424371,44,no age,0.4772727272727273,1,0.00974025974025974,0.021103896103896104,0.1991341991341991,0.17261904761904764,0.09307359307359307,0.017316017316017316,0.00974025974025974,0.4772727272727273,NA,NA,Brusel,Brussels,m,i,cz,words,noun,word_183,sociolex
Bělorusko,-1.323140868045904,0.63893585007570175,-1.4282372811381683,31,no age,0.4838709677419355,1,0.009216589861751152,0.009216589861751152,0.049539170506912436,0.16781874039938555,0.11943164362519201,0.13556067588325654,0.025345622119815666,0.4838709677419355,NA,NA,Bělorusko,Belarus,n,i,cz,words,noun,word_113,sociolex
Chorvatsko,-0.22503545961286886,-0.5472410440943403,-0.9319820408967026,51,no age,0.35294117647058826,1,0.033099906629318394,0.05597572362278245,0.1285247432306256,0.28538748832866473,0.08440709617180205,0.024929971988795516,0.03473389355742297,0.35294117647058826,NA,NA,Chorvatsko,Croatia,n,i,cz,words,noun,word_271,sociolex
David,1.4221744606038205,0.5299455779254142,-0.7038168766227858,37,no age,0.43243243243243246,1,0.05463320463320463,0.1357142857142857,0.2708494208494208,0.05463320463320463,0.020849420849420847,0.015444015444015443,0.015444015444015443,0.43243243243243246,NA,NA,David,David,m,a,cz,words,noun,word_328,sociolex
Dánsko,0.028819595370632566,0.09683530006047386,-1.5604743508976473,51,no age,0.49019607843137253,1,0.014005602240896357,0.030345471521942106,0.1682539682539682,0.1584500466853408,0.08328664799253034,0.017927170868347338,0.03753501400560224,0.49019607843137253,NA,NA,Dánsko,Denmark,n,i,cz,words,noun,word_323,sociolex
