item,n_sample_age,n_known_age,prop_known_age
ADHD,51,51,1
Adam,43,42,0.9767441860465116
Adolf,34,34,1
Adéla,49,49,1
Afghanistán,37,37,1
Afrika,51,51,1
Američan,44,44,1
Američanka,32,32,1
Antarktida,51,51,1
Argentina,33,33,1
Arktida,31,31,1
Asie,55,55,1
Austrálie,55,54,0.9818181818181818
Berlín,37,37,1
Božena,30,30,1
Bratislava,29,29,1
Brazílie,46,46,1
Brit,55,55,1
Britka,34,34,1
Brno,37,36,0.972972972972973
Brusel,44,44,1
Bělorusko,31,31,1
Chorvatsko,51,51,1
David,37,37,1
Dánsko,51,51,1
Egypt,37,37,1
Ema,32,32,1
Estonsko,36,36,1
Evropa,51,51,1
Evropan,34,34,1
Evropanka,44,44,1
Filip,51,51,1
Finsko,29,29,1
Francie,32,32,1
Francouz,37,37,1
Francouzka,32,32,1
František,35,35,1
Indie,35,35,1
Irsko,37,37,1
Irák,33,33,1
Itálie,31,31,1
Izrael,37,37,1
Jamajka,34,34,1
Japonsko,37,37,1
Jaroslava,34,34,1
Jihlava,32,32,1
Josef,29,29,1
Kanada,35,35,1
Karlovy Vary,29,29,1
Karolína,36,36,1
Katar,37,32,0.8648648648648649
Kuba,34,34,1
Kyjev,51,51,1
Leopold,51,51,1
Liberec,46,44,0.9565217391304348
Litva,36,36,1
Londýn,37,36,0.972972972972973
Lotyšsko,36,36,1
Madagaskar,51,51,1
Marta,36,36,1
Maďarsko,49,49,1
Mexiko,35,35,1
Milada,46,46,1
Morava,36,36,1
Moravan,30,30,1
Moravanka,46,46,1
Moskva,33,33,1
New York,49,49,1
Nigérie,29,29,1
Nový Zéland,34,33,0.9705882352941176
Němec,29,29,1
Německo,30,30,1
Němka,32,32,1
Olomouc,35,34,0.9714285714285714
Ostrava,31,31,1
Pardubice,37,36,0.972972972972973
Paříž,44,44,1
Peking,29,29,1
Plzeň,37,37,1
Polka,55,54,0.9818181818181818
Polsko,33,33,1
Polák,43,43,1
Praha,43,43,1
Rakousko,36,36,1
Rakušan,35,35,1
Rakušanka,30,30,1
Rudolf,31,31,1
Rumunsko,37,37,1
Rus,37,37,1
Ruska,31,31,1
Rusko,51,51,1
Saúdská Arábie,34,33,0.9705882352941176
Severní Amerika,37,37,1
Slezan,29,29,1
Slezanka,34,31,0.9117647058823529
Slezsko,51,51,1
Slovenka,36,36,1
Slovensko,36,36,1
Slovinsko,31,30,0.967741935483871
Slovák,35,35,1
Sofie,49,48,0.9795918367346939
Somálsko,35,35,1
Teodor,36,35,0.9722222222222222
Turecko,33,33,1
USA,46,46,1
Ukrajina,51,51,1
Varšava,43,42,0.9767441860465116
Vatikán,30,30,1
Velikonoce,35,35,1
Velká Británie,37,36,0.972972972972973
Vietnam,32,32,1
Viktorie,35,35,1
Vladimír,36,35,0.9722222222222222
Vánoce,30,30,1
Vídeň,37,37,1
Věra,51,51,1
Zlín,44,44,1
abstinovat,37,37,1
aerobik,36,36,1
agresivita,31,31,1
agresivní,36,36,1
aids,51,51,1
akademie,33,33,1
akné,51,51,1
aktivismus,32,32,1
aktivní,37,37,1
akupunktura,44,44,1
akutní,36,36,1
akvárium,41,41,1
akát,37,37,1
alergie,31,31,1
alkohol,33,33,1
alkoholik,37,37,1
alkoholička,44,44,1
altruismus,34,29,0.8529411764705882
altruistická,43,35,0.813953488372093
altruistický,31,27,0.8709677419354839
alzheimer,31,31,1
ambiciózní,37,37,1
ananas,38,38,1
anarchie,37,37,1
andulka,29,29,1
anděl,30,30,1
angažovaná,37,37,1
angažovaný,37,37,1
angličtina,36,36,1
angrešt,32,32,1
antikoncepce,55,55,1
antisemitismus,51,46,0.9019607843137255
apatie,44,42,0.9545454545454546
arašíd,46,46,1
archeologie,37,37,1
architekt,33,33,1
architektka,37,37,1
architektura,31,31,1
arkýř,43,24,0.5581395348837209
armáda,51,51,1
arogantní,31,31,1
artróza,36,36,1
asertivní,36,36,1
asexuál,29,29,1
asexuálka,31,31,1
asistent,44,44,1
asistentka,46,46,1
astronaut,46,46,1
astronautka,35,35,1
astronomie,43,43,1
ateismus,36,36,1
ateista,51,51,1
ateistka,31,31,1
